,ps_pair,temp,chi,polymer_class,ps_pair_nonCyclic
20,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl,100.0,0.23790726259103304,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])Cl
21,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],100.0,1.4886457529347767,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
22,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])C([H])([H])C([H])([H])[H],100.0,1.296363079712123,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])C([H])([H])C([H])([H])[H]
23,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])Cl,100.0,-0.21794295076552428,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])Cl
24,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C([H])([H])OC(=O)C([H])([H])[H],100.0,-0.1604531642638023,polychlorox,*C/C=C(\Cl)C*_[H]C([H])([H])OC(=O)C([H])([H])[H]
25,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],100.0,0.8168244617731779,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
26,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],100.0,0.1663910561157752,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
27,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],100.0,1.1372434784301144,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
28,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],100.0,0.7095344157973751,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
29,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H],100.0,0.15543521393136095,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])OC([H])([H])C([H])([H])C1([H])[H]
30,[H]/C1=C(/Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C([H])([H])/C([H])=C(\Cl)C([H])([H])C1([H])[H]_[H]C1([H])OC([H])([H])C([H])([H])OC1([H])[H],100.0,0.6446350903034322,polychlorox,*C/C=C(\Cl)C*_[H]C1([H])OC([H])([H])C([H])([H])OC1([H])[H]
